Event,Favorite,Underdog,Winner,odds_delta,delta_height,delta_reach,delta_SLPM,delta_Str Acc,delta_SApm,delta_Str. Def,delta_TD Avg,delta_TD Acc,delta_TD Def,delta_Sub Avg,delta_age
UFC 159 - Jones vs. Sonnen,Jon Jones,Chael Sonnen,Favorite,-7.87,3,11,1.21,0.13,1.12,0.02,-1.88,-0.14,0.28,0.09,-11
UFC 159 - Jones vs. Sonnen,Michael Bisping,Alan Belcher,Favorite,-2.93,-1,0,1.63,-0.03,-0.4,0.06,0.61,0.17,0.07,-0.61,5
UFC 159 - Jones vs. Sonnen,Roy Nelson,Cheick Kongo,Favorite,-1.77,-4,-9,-1.15,-0.21,3.51,-0.09,-1.16,-0.3,0.13,-0.1,-2
UFC 159 - Jones vs. Sonnen,Phil Davis,Vinny Magalhaes,Favorite,-2.19,-1,4,0.71,0.1,-2.64,0.03,1.44,-0.06,0.05,-0.21,0
UFC 159 - Jones vs. Sonnen,Jim Miller,Pat Healy,Underdog,-2,-4,-1,0.42,0.06,0.93,0.06,-1.55,0.07,-0.09,0.59,0
UFC 159 - Jones vs. Sonnen,Rustam Khabilov,Yancy Medeiros,Favorite,-1.86,-2,-2,-2.39,-0.03,-3.51,0.18,3.62,-0.1,-0.12,-0.6,1
UFC 159 - Jones vs. Sonnen,Ovince St Preux,Gian Villante,Favorite,-0.71,0,4,-1.35,0.02,-2.15,-0.09,0.65,0.12,-0.16,0.5,3
UFC 159 - Jones vs. Sonnen,Sara McMann,Sheila Gaff,Favorite,-4.62,1,2,0.65,-0.04,-0.98,0.18,4.38,0.65,0.3,0.5,9
UFC 159 - Jones vs. Sonnen,Johnny Bedford,Bryan Caraway,Underdog,-0.24,2,3,2,0.15,-1.86,0.08,-0.74,0.37,-0.19,-0.8,2
UFC 159 - Jones vs. Sonnen,Leonard Garcia,Cody McKenzie,Underdog,-1.4,-2,-4,1.03,-0.11,2.29,-0.16,-2.21,0.01,0.27,-2,8
UFC 159 - Jones vs. Sonnen,Steven Siler,Kurt Holobaugh,Favorite,-0.11,0,0,-1.17,-0.03,-1.12,0.06,-0.24,-0.15,0.09,0.7,0
UFC on FX 8 - Belfort vs. Rockhold,Vitor Belfort,Luke Rockhold,Favorite,-0.09,-3,-3,-2.51,-0.03,0.14,-0.04,0.32,0.31,-0.12,-0.4,8
UFC on FX 8 - Belfort vs. Rockhold,Ronaldo Souza,Chris Camozzi,Favorite,-4.83,-4,-5,0.16,-0.05,2.34,-0.12,0.23,-0.03,0.03,-0.5,-9
UFC on FX 8 - Belfort vs. Rockhold,Rafael dos Anjos,Evan Dunham,Favorite,-1.41,-2,0,-1.85,0.07,-0.34,-0.02,0.12,0.01,-0.24,-0.4,-3
UFC on FX 8 - Belfort vs. Rockhold,Rafael Natal,Joao Zeferino,Favorite,-2.34,1,8,2.27,0.1,-0.13,0.08,2.04,0.29,0.27,-0.5,3
UFC on FX 8 - Belfort vs. Rockhold,Nik Lentz,Hacran Dias,Favorite,-0.11,0,-1,1.36,0.06,-0.07,-0.06,0.79,-0.08,-0.33,0.7,0
UFC on FX 8 - Belfort vs. Rockhold,Francisco Trinaldo,Mike Rio,Favorite,-2.57,-1,0,1.45,0.06,-0.33,0.06,-1.6,0.14,0.6,-0.5,3
UFC on FX 8 - Belfort vs. Rockhold,Gleison Tibau,John Cholish,Favorite,-1.93,-1,-3,-0.7,-0.18,0.21,-0.1,2.25,0.22,0.14,0.4,0
UFC on FX 8 - Belfort vs. Rockhold,Paulo Thiago,Michel Prazeres,Favorite,-1.19,5,7,-0.67,-0.08,-0.52,0.06,-2.52,-0.05,0.16,0.6,1
UFC on FX 8 - Belfort vs. Rockhold,Yuri Alcantara,Iliarde Santos,Favorite,-4.3,4,4,-0.28,0.15,-3.31,-0.08,-0.22,0.39,-0.23,0.8,0
UFC on FX 8 - Belfort vs. Rockhold,Fabio Maldonado,Roger Hollett,Favorite,-2.07,2,2,3.46,0.1,-2.16,0.19,-0.57,0.28,0.31,0.6,-1
UFC on FX 8 - Belfort vs. Rockhold,Azamat Gashimov,John Lineker,Underdog,-0.23,3,0,-4.12,-0.2,0.48,-0.04,1.12,-0.33,-0.67,-0.6,1
UFC on FX 8 - Belfort vs. Rockhold,Jussier Formiga,Chris Cariaso,Favorite,-0.9,2,3,-1.94,-0.04,0.1,0.03,0.71,-0.05,0.3,-0.21,-3
UFC on FX 8 - Belfort vs. Rockhold,Lucas Martins,Jeremy Larsen,Favorite,-2.52,2,2,-2,-0.13,-1.62,0.03,-2.5,-0.33,0.76,0.5,-5
UFC 160 - Velasquez vs. Bigfoot 2,Cain Velasquez,Antonio Silva,Favorite,-5.59,-3,-5,3.48,0.11,-0.76,0.06,4.3,0.16,0.18,-0.4,-3
UFC 160 - Velasquez vs. Bigfoot 2,Junior dos Santos,Mark Hunt,Favorite,-4,6,5,1.68,0.03,0.43,0.05,-0.22,-0.06,0.17,-0.1,-10
UFC 160 - Velasquez vs. Bigfoot 2,Glover Teixeira,James Te Huna,Favorite,-3.42,0,1,-0.32,-0.03,1.43,-0.11,-0.65,-0.04,0.02,0.7,2
UFC 160 - Velasquez vs. Bigfoot 2,Gray Maynard,T.J. Grant,Underdog,-0.91,-1,-2,-2.04,-0.23,-0.57,0.09,1.28,0.03,0.45,0.09,5
UFC 160 - Velasquez vs. Bigfoot 2,Donald Cerrone,K.J. Noons,Favorite,-2.11,3,3,0.73,0.11,0.7,-0.12,1.07,0.13,0.04,1.2,0
UFC 160 - Velasquez vs. Bigfoot 2,Rick Story,Mike Pyle,Underdog,-0.83,-3,-3,1.05,-0.05,-0.67,0.02,0.72,0.13,-0.07,-0.6,-9
UFC 160 - Velasquez vs. Bigfoot 2,Dennis Bermudez,Max Holloway,Favorite,-2.25,-5,-3,-2.75,-0.02,-1.65,0,3.64,-0.13,-0.03,0.8,5
UFC 160 - Velasquez vs. Bigfoot 2,Colton Smith,Robert Whittaker,Underdog,-1.04,0,-2,-2.94,-0.02,-1.16,-0.08,3.28,-0.03,-0.57,1.4,3
UFC 160 - Velasquez vs. Bigfoot 2,Khabib Nurmagomedov,Abel Trujillo,Favorite,-2.35,2,0,1.44,0.07,-0.57,0.06,3.14,0.02,0.43,0.4,-5
UFC 160 - Velasquez vs. Bigfoot 2,Stephen Thompson,Nah-Shon Burrell,Favorite,-1.02,1,4,-0.72,-0.01,-0.43,-0.03,0.26,0.41,0.13,-0.3,7
UFC 160 - Velasquez vs. Bigfoot 2,Brian Bowles,George Roop,Underdog,-2.3,-6,-2,-1.08,-0.09,0.5,0.04,0.33,0.13,-0.05,1.29,1
UFC 160 - Velasquez vs. Bigfoot 2,Jeremy Stephens,Estevan Payan,Favorite,-1.3,-1,-1,-1.08,-0.02,-0.54,0.01,0.8,-0.62,0.05,0,-5
UFC on Fox 8 - Johnson vs. Moraga,Demetrious Johnson,John Moraga,Favorite,-3.5,-3,0,0.86,0.11,-0.89,0.1,2.73,0.33,0.21,-0.61,-3
UFC on Fox 8 - Johnson vs. Moraga,Rory MacDonald,Jake Ellenberger,Favorite,-1.71,3,5,1.27,0.02,-0.04,0.02,-0.27,0,0.02,0,-5
UFC on Fox 8 - Johnson vs. Moraga,Robbie Lawler,Bobby Voelker,Favorite,-2.86,-1,0,-0.16,0.12,-1.17,0.17,-0.39,0.14,-0.02,0,-3
UFC on Fox 8 - Johnson vs. Moraga,Liz Carmouche,Jessica Andrade,Favorite,-4.55,5,4,-3.85,0.04,-2.87,0.05,0.19,-0.05,-0.07,0,8
UFC on Fox 8 - Johnson vs. Moraga,Jorge Masvidal,Michael Chiesa,Favorite,-2.15,-2,-1,2.17,0.06,1.35,0.09,-1.96,0.08,0.12,-0.7,3
UFC on Fox 8 - Johnson vs. Moraga,Danny Castillo,Tim Means,Favorite,-1.95,-5,-4,-2.52,-0.08,-1.69,0.02,1.79,-0.03,-0.03,0,4
UFC on Fox 8 - Johnson vs. Moraga,Melvin Guillard,Mac Danzig,Favorite,-0.54,1,1,-0.44,-0.08,-1.59,0.09,0.1,0.26,0.14,-0.4,-3
UFC on Fox 8 - Johnson vs. Moraga,Daron Cruickshank,Yves Edwards,Favorite,-1.08,-1,-1,-0.04,-0.04,0.64,-0.1,1.28,-0.13,-0.09,-0.5,-9
UFC on Fox 8 - Johnson vs. Moraga,Ed Herman,Trevor Smith,Favorite,-1.43,-2,2,0.02,-0.08,0.39,-0.1,0.26,0.14,-0.02,0.3,0
UFC on Fox 8 - Johnson vs. Moraga,Germaine de Randamie,Julie Kedzie,Favorite,-1.07,4,6,-0.34,0.1,-1.19,0.19,-1.14,-0.23,-0.13,0.4,-3
UFC on Fox 8 - Johnson vs. Moraga,Justin Salas,Aaron Riley,Favorite,-1.75,0,1,-0.04,0.08,-0.82,0.07,1.25,-0.15,-0.6,-0.1,-1
UFC on Fox 8 - Johnson vs. Moraga,John Albert,Yaotzin Meza,Underdog,-1.83,-1,-3,1.62,0.08,1.19,-0.3,-1.06,-0.2,0.32,4.69,-6
UFC 163 - Aldo vs. Korean Zombie,Jose Aldo,Chan Sung Jung,Favorite,-6.9,0,-2,-0.31,0.05,-0.79,0.07,-0.19,0.09,0.19,-0.5,0
UFC 163 - Aldo vs. Korean Zombie,Phil Davis,Lyoto Machida,Favorite,-2.65,1,5,0.26,-0.19,-0.24,0.1,1.78,-0.27,-0.04,0.19,-6
UFC 163 - Aldo vs. Korean Zombie,Cezar Ferreira,Thiago Santos,Favorite,-3.88,-1,2,-1.83,-0.06,-0.13,0,1.81,0.2,0.18,0.4,-1
UFC 163 - Aldo vs. Korean Zombie,Thales Leites,Tom Watson,Favorite,-0.81,0,5,-1.88,-0.04,-1.42,0.02,1.95,0.2,-0.13,1.1,1
UFC 163 - Aldo vs. Korean Zombie,John Lineker,Jose Maria Tome,Favorite,-3.28,-2,2,2.16,-0.13,0.28,0.04,-1.76,0.3,0.34,-1.7,-9
UFC 163 - Aldo vs. Korean Zombie,Vinny Magalhaes,Anthony Perosh,Underdog,-4.13,0,0,-0.13,-0.19,0.2,0.15,-0.48,0.22,0.33,-0.31,-12
UFC 163 - Aldo vs. Korean Zombie,Amanda Nunes,Sheila Gaff,Favorite,-1.49,3,5,2.95,0.01,-0.27,0.28,2.73,0.54,0.61,0.7,1
UFC 163 - Aldo vs. Korean Zombie,Sergio Moraes,Neil Magny,Favorite,-0.79,-3,-8,-1.06,-0.05,1.31,0.06,-0.97,-0.03,0.2,0.1,5
UFC 163 - Aldo vs. Korean Zombie,Ian McCall,Iliarde Santos,Favorite,-3.83,0,-3,0.58,0.09,-2.85,0.1,0.42,0.06,0.05,0,-3
UFC 163 - Aldo vs. Korean Zombie,Rani Yahya,Josh Clopton,Favorite,-8.04,0,,0.1,-0.26,-0.79,0,0.73,-0.37,-0.46,1.8,-3
UFC 163 - Aldo vs. Korean Zombie,Ednaldo Oliveira,Francimar Barroso,Underdog,-0.57,4,7,-1.74,-0.31,-1.27,-0.07,-2.23,-0.24,-0.41,0,-4
UFC 163 - Aldo vs. Korean Zombie,Viscardi Andrade,Bristol Marunde,Favorite,-1.2,-2,0,1.84,0.21,-1.64,0.16,0.32,0.17,0.52,0.3,-2
UFC Fight Night 26 - Shogun vs. Sonnen,Mauricio Rua,Chael Sonnen,Underdog,-0.88,0,3,0.48,0.07,1.69,-0.08,-1.81,-0.11,-0.18,0.29,-5
UFC Fight Night 26 - Shogun vs. Sonnen,Alistair Overeem,Travis Browne,Underdog,-1.03,-2,1,0.73,0.23,-1.87,0.14,0.2,-0.13,-0.03,0.6,3
UFC Fight Night 26 - Shogun vs. Sonnen,Urijah Faber,Yuri Alcantara,Favorite,-1.58,-3,-4,-0.08,-0.05,-0.21,0.15,0.1,-0.32,-0.03,0,2
UFC Fight Night 26 - Shogun vs. Sonnen,Matt Brown,Mike Pyle,Favorite,-0.5,0,1,1.01,0.1,0.08,-0.05,-0.13,0.11,-0.07,-0.2,-5
UFC Fight Night 26 - Shogun vs. Sonnen,Urijah Hall,John Howard,Underdog,-3.98,5,7,1.08,-0.03,0.77,0.03,-2.16,-0.11,0.1,-0.31,-2
UFC Fight Night 26 - Shogun vs. Sonnen,Joe Lauzon,Michael Johnson,Underdog,-2.18,0,-2,-1.43,0,1.55,-0.03,1.77,0.04,-0.27,2,3
UFC Fight Night 26 - Shogun vs. Sonnen,Michael McDonald,Brad Pickett,Favorite,-2.72,5,4,-3.02,-0.31,-4.23,-0.06,-2.48,-0.44,-0.58,-0.4,14
UFC Fight Night 26 - Shogun vs. Sonnen,Conor McGregor,Max Holloway,Favorite,-2.43,-2,5,-1.85,0.01,-0.06,-0.05,0.42,0.02,-0.18,-0.2,3
UFC Fight Night 26 - Shogun vs. Sonnen,Mike Brown,Steven Siler,Underdog,-1.4,-5,0,-0.23,0.03,-0.51,0.05,2.76,0.19,0.1,-1,11
UFC Fight Night 26 - Shogun vs. Sonnen,Diego Brandao,Daniel Pineda,Favorite,-1.43,0,-5,-0.15,-0.03,0.19,0.15,1.5,0.43,0.32,-1.11,-2
UFC Fight Night 26 - Shogun vs. Sonnen,Manny Gamburyan,Cole Miller,Favorite,-0.51,-8,-6,-0.88,0.07,-1.05,-0.04,2.65,-0.02,0.3,-1.11,3
UFC Fight Night 26 - Shogun vs. Sonnen,Ovince St Preux,Cody Donovan,Favorite,-3.32,0,6,-2.59,-0.12,-2.13,0.01,-0.57,0.07,0.67,-1.2,-2
UFC Fight Night 26 - Shogun vs. Sonnen,Ramsey Nijem,James Vick,Underdog,-1.18,-4,-1,-1.08,0.04,-1.69,0.02,5.06,0.28,-0.02,0.4,-1
UFC 167 - St. Pierre vs. Hendricks,Georges St. Pierre,Johny Hendricks,Favorite,-1.31,2,7,0.28,0.08,-2.6,0.18,0.33,0.27,0.19,0.8,3
UFC 167 - St. Pierre vs. Hendricks,Rashad Evans,Chael Sonnen,Favorite,-1.7,-1,2,-0.94,-0.06,1.31,0.01,-0.83,-0.15,0.06,-0.4,-3
UFC 167 - St. Pierre vs. Hendricks,Rory MacDonald,Robbie Lawler,Underdog,-3.39,1,2,-0.11,-0.05,-1.87,0.03,1.12,-0.18,0.23,0.4,-8
UFC 167 - St. Pierre vs. Hendricks,Tyron Woodley,Josh Koscheck,Favorite,-0.35,-1,1,0.56,0.12,0.48,-0.09,-1.4,-0.08,0.23,0,-4
UFC 167 - St. Pierre vs. Hendricks,Tim Elliott,Ali Bagautinov,Underdog,-0.83,3,1,0.54,0.02,-0.43,0.04,1.22,0.1,-0.07,0.7,-1
UFC 167 - St. Pierre vs. Hendricks,Donald Cerrone,Evan Dunham,Favorite,-0.28,3,3,-0.92,0.07,0.94,-0.08,-0.67,0,-0.07,0.19,-1
UFC 167 - St. Pierre vs. Hendricks,Thales Leites,Ed Herman,Favorite,-1.1,0,1,-1.19,-0.08,-0.72,0.1,0.14,-0.2,-0.29,0.1,-1
UFC 167 - St. Pierre vs. Hendricks,Rick Story,Brian Ebersole,Favorite,-1.52,-3,-2,1.48,-0.09,0.02,0.05,0.82,0.24,0.02,0.8,-4
UFC 167 - St. Pierre vs. Hendricks,Erik Perez,Edwin Figueroa,Favorite,-3.54,1,-1,0.59,0.01,-0.98,0.15,2.96,-0.45,0.31,-0.4,-5
UFC 167 - St. Pierre vs. Hendricks,Jason High,Anthony Lapsley,Favorite,-2.58,-1,0,0.75,0.07,0.98,-0.19,2.36,0.63,0.17,2.8,-2
UFC 167 - St. Pierre vs. Hendricks,Sergio Pettis,Will Campuzano,Favorite,-3.29,-3,-1,1.44,0.06,-0.91,0.08,-0.04,-0.05,0.19,0.2,-7
UFC 167 - St. Pierre vs. Hendricks,Gian Villante,Cody Donovan,Favorite,-2.79,0,2,-1.24,-0.15,0.02,0.1,-1.22,-0.06,0.83,-1.7,-5
UFC - The Ultimate Fighter 18 Finale,Gray Maynard,Nate Diaz,Underdog,-0.31,-3,-6,-2.66,-0.13,-1.13,0.14,1.86,0.17,0.4,-0.61,6
UFC - The Ultimate Fighter 18 Finale,Julianna Pena,Jessica Rakoczy,Favorite,-2.24,-1,1,0.66,0.02,-1.25,-0.15,1.19,0.35,0.23,0,-13
UFC - The Ultimate Fighter 18 Finale,Chris Holdsworth,Davey Grant,Favorite,-1.45,3,2,-2.92,-0.13,-1.88,0.02,2.12,0.21,0.39,1.8,-2
UFC - The Ultimate Fighter 18 Finale,Jessamyn Duke,Peggy Morgan,Favorite,-1.82,-2,2,2.56,0.3,-3.77,0.23,1.27,0.36,0,1.9,-7
UFC - The Ultimate Fighter 18 Finale,Raquel Pennington,Roxanne Modafferi,Favorite,-3.9,0,-2,0.78,0.22,-2.41,0.08,-0.46,0.04,0.33,0.6,-6
UFC - The Ultimate Fighter 18 Finale,Maximo Blanco,Akira Corassani,Underdog,-1.22,0,3,0.86,-0.02,-1.73,0.16,1.15,0.07,-0.23,0.3,-1
UFC - The Ultimate Fighter 18 Finale,Rani Yahya,Tom Niinimaki,Underdog,-0.05,-3,-2,-0.2,-0.17,-0.23,-0.08,-0.25,-0.17,-0.05,1.3,-2
UFC - The Ultimate Fighter 18 Finale,Jared Rosholt,Walt Harris,Favorite,-2.05,-3,-2,-0.97,0.07,-1.81,0.04,1.54,0.12,-0.04,0,-3
UFC - The Ultimate Fighter 18 Finale,Sean Spencer,Drew Dober,Favorite,-1.65,2,4,-0.1,-0.09,-0.22,0.08,-0.57,0.15,0.12,-0.1,1
UFC - The Ultimate Fighter 18 Finale,Josh Sampo,Ryan Benoit,Favorite,-0.18,-1,-4,-0.89,-0.04,-0.69,-0.03,0.78,0.11,-0.32,1.7,5
UFC Fight Night 33 - Hunt vs. Bigfoot,Antonio Silva,Mark Hunt,Underdog,-0.65,6,10,0.08,0.02,0.18,-0.02,0.3,-0.27,0.02,0.6,-6
UFC Fight Night 33 - Hunt vs. Bigfoot,Ryan Bader,Anthony Perosh,Favorite,-4.44,-1,-1,0.54,0,-2.38,0.17,1.34,0.22,0.47,-0.7,-11
UFC Fight Night 33 - Hunt vs. Bigfoot,Pat Barry,Soa Palelei,Underdog,-1.01,-5,-7,0.25,-0.05,0.85,0.1,-2.21,-0.47,0.09,0.2,-2
UFC Fight Night 33 - Hunt vs. Bigfoot,Dylan Andrews,Clint Hester,Underdog,-0.56,-1,-3,-1.15,0.08,-0.72,-0.11,1.81,0.15,-0.04,0.4,7
UFC Fight Night 33 - Hunt vs. Bigfoot,Julie Kedzie,Bethe Correia,Underdog,-0.99,0,1,-1.48,-0.08,-1.75,-0.11,0.74,0.05,-0.07,0,3
UFC Fight Night 33 - Hunt vs. Bigfoot,Takeya Mizugaki,Nam Phan,Favorite,-2.67,1,-1,-1.15,0,-3.28,-0.03,1.28,0.38,0.09,-0.1,-1
UFC Fight Night 33 - Hunt vs. Bigfoot,Nick Ring,Caio Magalhaes,Underdog,-1.28,-1,1,1.25,0.01,0.7,0.05,0.31,0.21,-0.06,-1.3,9
UFC Fight Night 33 - Hunt vs. Bigfoot,Justin Scoggins,Richie Vaculik,Favorite,-2.8,1,-3,-0.13,0.04,-1.93,-0.02,0.41,0.18,0.51,-0.5,-8
UFC Fight Night 33 - Hunt vs. Bigfoot,Bruno Santos,Krzysztof Jotko,Underdog,-1.7,-4,-4,-1.8,0.04,0.04,-0.01,1.67,-0.03,-0.16,0.2,2
UFC Fight Night 33 - Hunt vs. Bigfoot,Alex Garcia,Ben Wall,Favorite,-5.39,-1,-1,0.34,0.02,-5.5,0.3,3.72,0.52,-0.34,0.1,1
UFC 168 - Weidman vs. Silva 2,Anderson Silva,Chris Weidman,Underdog,-1.17,0,-1,-0.14,0.15,-1.18,0.08,-2.94,0.35,0.03,0,10
UFC 168 - Weidman vs. Silva 2,Ronda Rousey,Miesha Tate,Favorite,-5.38,1,1,1.54,0.07,1.15,-0.08,4.24,0.37,-0.06,3.5,0
UFC 168 - Weidman vs. Silva 2,Josh Barnett,Travis Browne,Underdog,-0.61,-3,-1,0.27,0.09,-2.2,0.14,0.05,-0.13,-0.2,1.2,5
UFC 168 - Weidman vs. Silva 2,Jim Miller,Fabricio Camoes,Favorite,-3.5,-2,0,1.7,0.08,1.65,-0.05,-0.81,0.12,0.26,0.19,-5
UFC 168 - Weidman vs. Silva 2,Dustin Poirier,Diego Brandao,Favorite,-1.74,2,8,2.51,0.04,0.98,-0.09,-1.88,-0.33,-0.18,0.8,-1
UFC 168 - Weidman vs. Silva 2,Urijah Hall,Chris Leben,Favorite,-2.58,1,6,0.35,0.06,0.98,0.02,-0.6,-0.03,0.1,-0.7,-4
UFC 168 - Weidman vs. Silva 2,Michael Johnson,Gleison Tibau,Favorite,-0.64,0,2,2.31,0.08,1.32,-0.07,-3.46,-0.13,-0.11,-0.8,-3
UFC 168 - Weidman vs. Silva 2,Dennis Siver,Manny Gamburyan,Favorite,-2.51,1,3,1.74,-0.09,-0.17,0.09,-2.39,-0.03,-0.04,-0.4,2
UFC 168 - Weidman vs. Silva 2,Siyar Bahadurzada,John Howard,Underdog,-0.71,4,1,0.76,-0.1,0.14,-0.03,-1.38,0.12,0.08,-0.11,-1
UFC 168 - Weidman vs. Silva 2,Bobby Voelker,William Macario,Underdog,-0.48,1,-1,-0.92,-0.2,1.88,-0.24,-0.81,0.04,-0.12,0,13
UFC 168 - Weidman vs. Silva 2,Robbie Peralta,Estevan Payan,Favorite,-1.04,-2,-1,-0.5,0.02,-0.61,-0.04,0.23,-0.34,0.05,-0.4,-4
UFC Fight Night 34 - Saffiedine vs. Lim,Tarec Saffiedine,Hyun Gyu Lim,Favorite,-1.64,-5,-7,-0.41,0.06,-2.02,0.1,0.29,-0.64,0.1,-0.1,-2
UFC Fight Night 34 - Saffiedine vs. Lim,Tatsuya Kawajiri,Sean Soriano,Favorite,-0.32,-2,-1,-1.15,-0.17,-0.14,-0.07,2.29,-0.08,0.1,1.1,12
UFC Fight Night 34 - Saffiedine vs. Lim,Luiz Dutra,Kiichi Kunimoto,Underdog,-0.78,1,1,2.04,0.06,0.87,0,-1.59,-0.2,0.72,-0.3,-1
UFC Fight Night 34 - Saffiedine vs. Lim,Kyung Ho Kang,Shunichi Shimizu,Favorite,-2.62,4,6,3.21,0.14,-1.35,0.25,1.87,0.56,0.68,0.8,-3
UFC Fight Night 34 - Saffiedine vs. Lim,Max Holloway,Will Chope,Favorite,-2.03,-5,-7,2.74,0.2,-5.21,0.12,0.25,0.53,0.84,0.3,-1
UFC Fight Night 34 - Saffiedine vs. Lim,Katsunori Kikuno,Quinn Mulhern,Favorite,-1.09,-7,-10,1.16,0.12,0.38,0.09,0.51,0.55,0.43,0.8,3
UFC Fight Night 34 - Saffiedine vs. Lim,Dave Galera,Royston Wee,Underdog,-1.18,4,5,0.56,0.08,-1.93,-0.16,-3.38,-0.81,0.14,2,9
UFC Fight Night 34 - Saffiedine vs. Lim,Mairbek Taisumov,Tae Hyun Bang,Favorite,-2.89,0,2,0.25,0.01,0.96,-0.03,0.85,0.3,0.31,-0.5,-6
UFC Fight Night 34 - Saffiedine vs. Lim,Dustin Kimura,Jon delos Reyes,Favorite,-2.89,1,4,-1.66,-0.17,-0.32,0,-2.27,-0.46,-0.06,0.3,-1
UFC Fight Night 34 - Saffiedine vs. Lim,Leandro Issa,Russell Doane,Underdog,-0.32,0,-1,0.33,-0.04,1.49,0.04,0.27,-0.23,-0.03,0.39,3
UFC Fight Night 35 - Rockhold vs. Philippou,Luke Rockhold,Costas Philippou,Favorite,-3.31,4,4,1.9,0.14,-0.05,-0.02,0.29,-0.13,0,0.7,-5
UFC Fight Night 35 - Rockhold vs. Philippou,Lorenz Larkin,Brad Tavares,Underdog,-1.97,-2,-2,0.14,0.03,-0.41,0.07,-0.51,0.15,-0.03,0.1,1
UFC Fight Night 35 - Rockhold vs. Philippou,T.J. Dillashaw,Mike Easton,Favorite,-2.43,0,-3,1.58,0.03,-0.81,0.01,0.81,0.07,0.1,0.8,-2
UFC Fight Night 35 - Rockhold vs. Philippou,Yoel Romero,Derek Brunson,Favorite,-1.63,-1,-4,-0.07,0.02,0,0.08,-1.57,-0.04,-0.07,-0.6,7
UFC Fight Night 35 - Rockhold vs. Philippou,John Moraga,Dustin Ortiz,Favorite,-2.11,1,1,-0.38,-0.02,0.37,0,-2.39,-0.13,-0.09,1,5
UFC Fight Night 35 - Rockhold vs. Philippou,Cole Miller,Sam Sicilia,Favorite,-0.37,5,6,0.54,0,0.33,0,-0.85,-0.08,-0.32,0.9,2
UFC Fight Night 35 - Rockhold vs. Philippou,Ramsey Nijem,Justin Edwards,Favorite,-0.81,1,5,0.36,0.02,-1.7,0.1,3.18,0.36,0.28,0.1,-5
UFC Fight Night 35 - Rockhold vs. Philippou,Elias Silverio,Isaac Vallie-Flagg,Favorite,-1,3,3,-1.89,0.02,-2.63,0.06,1.42,0.26,0.27,0.2,-9
UFC Fight Night 35 - Rockhold vs. Philippou,Brian Houston,Trevor Smith,Underdog,-0.51,-1,3,-1.39,-0.21,0.35,0.02,-0.75,0.68,0.27,-0.7,0
UFC Fight Night 35 - Rockhold vs. Philippou,Alptekin Ozkilic,Louis Smolka,Underdog,-2.38,-4,-3,-0.86,-0.15,1.6,0.05,2.52,0.23,0.43,-1.8,6
UFC Fight Night 35 - Rockhold vs. Philippou,Vinc Pichel,Garett Whiteley,Favorite,-0.72,-2,0,-0.11,-0.02,-1,0.09,2.78,0.54,-0.03,-0.7,-2
UFC Fight Night 35 - Rockhold vs. Philippou,Charlie Brenneman,Beneil Dariush,Underdog,-1.24,0,-2,-2.26,0.08,-1.1,-0.11,2.33,0.07,-0.09,-0.9,8
UFC on Fox 10 - Henderson vs. Thomson,Benson Henderson,Josh Thomson,Favorite,-2.44,-1,-1,0.34,-0.02,-0.34,-0.02,0.48,0.06,0.08,-0.5,-5
UFC on Fox 10 - Henderson vs. Thomson,Stipe Miocic,Gabriel Gonzaga,Favorite,-2.2,2,4,2.7,0.08,0.87,-0.03,-0.94,-0.05,0.02,-1.11,-4
UFC on Fox 10 - Henderson vs. Thomson,Donald Cerrone,Adriano Martins,Favorite,-1.03,3,1,2.61,0.08,2.34,-0.12,0.32,-0.47,-0.09,0.8,0
UFC on Fox 10 - Henderson vs. Thomson,Jeremy Stephens,Darren Elkins,Favorite,-0.27,-1,0,-0.27,0.02,-0.23,0.05,-1.7,0.03,0.08,-0.7,-3
UFC on Fox 10 - Henderson vs. Thomson,Sergio Pettis,Alex Caceres,Underdog,-1.36,-4,-4,-0.34,-0.12,-0.18,0.03,0.3,-0.29,0.03,-0.3,-5
UFC on Fox 10 - Henderson vs. Thomson,Eddie Wineland,Yves Jabouin,Favorite,-4.02,0,1,0.33,-0.12,0.82,0.06,-1.6,-0.27,0.04,0,-5
UFC on Fox 10 - Henderson vs. Thomson,Chico Camus,Yaotzin Meza,Favorite,-1.26,-3,-5,1.15,0,0.83,0,-0.3,0.2,0.54,-1,-4
UFC on Fox 10 - Henderson vs. Thomson,Hugo Viana,Ramiro Hernandez,Favorite,-2.62,-3,-3,0.32,0.09,-2.31,-0.08,0.22,0.06,0.5,0,4
UFC on Fox 10 - Henderson vs. Thomson,Daron Cruickshank,Mike Rio,Favorite,-1.82,-2,2,1.2,-0.02,-0.02,0.03,-0.54,0.13,0.6,-0.8,-4
UFC on Fox 10 - Henderson vs. Thomson,Mike Rhodes,George Sullivan,Underdog,-2.15,1,1,-0.33,0,1.71,0.07,-0.42,0.13,0.37,-0.2,-9
UFC on Fox 10 - Henderson vs. Thomson,Walt Harris,Nikita Krylov,Underdog,-3.3,2,0,-1.33,-0.17,0.85,0.1,-2,-0.1,0.16,-1.3,8
UFC 169 - Barao vs. Faber 2,Renan Barao,Urijah Faber,Favorite,-2.75,0,3,1.12,-0.05,1.31,-0.08,-0.06,0.1,0.33,-0.31,-8
