,Event Title,Fighter A,Fighter B,Winner,Odds A,Odds B,Underdog,Favorite
0,UFC 159 - Jones vs. Sonnen,Jon Jones,Chael Sonnen,Jon Jones,1.13,9,Chael Sonnen,Jon Jones
1,UFC 159 - Jones vs. Sonnen,Michael Bisping,Alan Belcher,Michael Bisping,1.57,4.5,Alan Belcher,Michael Bisping
2,UFC 159 - Jones vs. Sonnen,Roy Nelson,Cheick Kongo,Roy Nelson,1.43,3.2,Cheick Kongo,Roy Nelson
3,UFC 159 - Jones vs. Sonnen,Phil Davis,Vinny Magalhaes,Phil Davis,1.36,3.55,Vinny Magalhaes,Phil Davis
4,UFC 159 - Jones vs. Sonnen,Pat Healy,Jim Miller,Pat Healy,3.4,1.4,Pat Healy,Jim Miller
5,UFC 159 - Jones vs. Sonnen,Rustam Khabilov,Yancy Medeiros,Rustam Khabilov,1.54,3.4,Yancy Medeiros,Rustam Khabilov
6,UFC 159 - Jones vs. Sonnen,Ovince St Preux,Gian Villante,Ovince St Preux,1.69,2.4,Gian Villante,Ovince St Preux
7,UFC 159 - Jones vs. Sonnen,Sara McMann,Sheila Gaff,Sara McMann,1.18,5.8,Sheila Gaff,Sara McMann
8,UFC 159 - Jones vs. Sonnen,Bryan Caraway,Johnny Bedford,Bryan Caraway,2.15,1.91,Bryan Caraway,Johnny Bedford
9,UFC 159 - Jones vs. Sonnen,Cody McKenzie,Leonard Garcia,Cody McKenzie,2.93,1.53,Cody McKenzie,Leonard Garcia
10,UFC 159 - Jones vs. Sonnen,Steven Siler,Kurt Holobaugh,Steven Siler,1.95,2.06,Kurt Holobaugh,Steven Siler
11,UFC on FX 8 - Belfort vs. Rockhold,Vitor Belfort,Luke Rockhold,Vitor Belfort,1.95,2.04,Luke Rockhold,Vitor Belfort
12,UFC on FX 8 - Belfort vs. Rockhold,Ronaldo Souza,Chris Camozzi,Ronaldo Souza,1.17,6,Chris Camozzi,Ronaldo Souza
13,UFC on FX 8 - Belfort vs. Rockhold,Rafael dos Anjos,Evan Dunham,Rafael dos Anjos,1.5,2.91,Evan Dunham,Rafael dos Anjos
14,UFC on FX 8 - Belfort vs. Rockhold,Rafael Natal,Joao Zeferino,Rafael Natal,1.36,3.7,Joao Zeferino,Rafael Natal
15,UFC on FX 8 - Belfort vs. Rockhold,Nik Lentz,Hacran Dias,Nik Lentz,1.99,2.1,Hacran Dias,Nik Lentz
16,UFC on FX 8 - Belfort vs. Rockhold,Francisco Trinaldo,Mike Rio,Francisco Trinaldo,1.33,3.9,Mike Rio,Francisco Trinaldo
17,UFC on FX 8 - Belfort vs. Rockhold,Gleison Tibau,John Cholish,Gleison Tibau,1.42,3.35,John Cholish,Gleison Tibau
18,UFC on FX 8 - Belfort vs. Rockhold,Paulo Thiago,Michel Prazeres,Paulo Thiago,1.57,2.76,Michel Prazeres,Paulo Thiago
19,UFC on FX 8 - Belfort vs. Rockhold,Yuri Alcantara,Iliarde Santos,Yuri Alcantara,1.2,5.5,Iliarde Santos,Yuri Alcantara
20,UFC on FX 8 - Belfort vs. Rockhold,Fabio Maldonado,Roger Hollett,Fabio Maldonado,1.38,3.45,Roger Hollett,Fabio Maldonado
21,UFC on FX 8 - Belfort vs. Rockhold,John Lineker,Azamat Gashimov,John Lineker,2.1,1.87,John Lineker,Azamat Gashimov
22,UFC on FX 8 - Belfort vs. Rockhold,Jussier Formiga,Chris Cariaso,Jussier Formiga,1.65,2.55,Chris Cariaso,Jussier Formiga
23,UFC on FX 8 - Belfort vs. Rockhold,Lucas Martins,Jeremy Larsen,Lucas Martins,1.33,3.85,Jeremy Larsen,Lucas Martins
24,UFC 160 - Velasquez vs. Bigfoot 2,Cain Velasquez,Antonio Silva,Cain Velasquez,1.16,6.75,Antonio Silva,Cain Velasquez
25,UFC 160 - Velasquez vs. Bigfoot 2,Junior dos Santos,Mark Hunt,Junior dos Santos,1.25,5.25,Mark Hunt,Junior dos Santos
26,UFC 160 - Velasquez vs. Bigfoot 2,Glover Teixeira,James Te Huna,Glover Teixeira,1.33,4.75,James Te Huna,Glover Teixeira
27,UFC 160 - Velasquez vs. Bigfoot 2,T.J. Grant,Gray Maynard,T.J. Grant,2.65,1.74,T.J. Grant,Gray Maynard
28,UFC 160 - Velasquez vs. Bigfoot 2,Donald Cerrone,K.J. Noons,Donald Cerrone,1.37,3.48,K.J. Noons,Donald Cerrone
29,UFC 160 - Velasquez vs. Bigfoot 2,Mike Pyle,Rick Story,Mike Pyle,2.5,1.67,Mike Pyle,Rick Story
30,UFC 160 - Velasquez vs. Bigfoot 2,Dennis Bermudez,Max Holloway,Dennis Bermudez,1.4,3.65,Max Holloway,Dennis Bermudez
31,UFC 160 - Velasquez vs. Bigfoot 2,Robert Whittaker,Colton Smith,Robert Whittaker,2.75,1.71,Robert Whittaker,Colton Smith
32,UFC 160 - Velasquez vs. Bigfoot 2,Khabib Nurmagomedov,Abel Trujillo,Khabib Nurmagomedov,1.4,3.75,Abel Trujillo,Khabib Nurmagomedov
33,UFC 160 - Velasquez vs. Bigfoot 2,Stephen Thompson,Nah-Shon Burrell,Stephen Thompson,1.63,2.65,Nah-Shon Burrell,Stephen Thompson
34,UFC 160 - Velasquez vs. Bigfoot 2,George Roop,Brian Bowles,George Roop,3.66,1.36,George Roop,Brian Bowles
35,UFC 160 - Velasquez vs. Bigfoot 2,Jeremy Stephens,Estevan Payan,Jeremy Stephens,1.6,2.9,Estevan Payan,Jeremy Stephens
36,UFC on Fox 8 - Johnson vs. Moraga,Demetrious Johnson,John Moraga,Demetrious Johnson,1.25,4.75,John Moraga,Demetrious Johnson
37,UFC on Fox 8 - Johnson vs. Moraga,Rory MacDonald,Jake Ellenberger,Rory MacDonald,1.43,3.14,Jake Ellenberger,Rory MacDonald
38,UFC on Fox 8 - Johnson vs. Moraga,Robbie Lawler,Bobby Voelker,Robbie Lawler,1.29,4.15,Bobby Voelker,Robbie Lawler
39,UFC on Fox 8 - Johnson vs. Moraga,Liz Carmouche,Jessica Andrade,Liz Carmouche,1.2,5.75,Jessica Andrade,Liz Carmouche
40,UFC on Fox 8 - Johnson vs. Moraga,Jorge Masvidal,Michael Chiesa,Jorge Masvidal,1.4,3.55,Michael Chiesa,Jorge Masvidal
41,UFC on Fox 8 - Johnson vs. Moraga,Danny Castillo,Tim Means,Danny Castillo,1.5,3.45,Tim Means,Danny Castillo
42,UFC on Fox 8 - Johnson vs. Moraga,Melvin Guillard,Mac Danzig,Melvin Guillard,1.91,2.45,Mac Danzig,Melvin Guillard
43,UFC on Fox 8 - Johnson vs. Moraga,Daron Cruickshank,Yves Edwards,Daron Cruickshank,1.67,2.75,Yves Edwards,Daron Cruickshank
44,UFC on Fox 8 - Johnson vs. Moraga,Ed Herman,Trevor Smith,Ed Herman,1.57,3,Trevor Smith,Ed Herman
45,UFC on Fox 8 - Johnson vs. Moraga,Germaine de Randamie,Julie Kedzie,Germaine de Randamie,1.63,2.7,Julie Kedzie,Germaine de Randamie
46,UFC on Fox 8 - Johnson vs. Moraga,Justin Salas,Aaron Riley,Justin Salas,1.45,3.2,Aaron Riley,Justin Salas
47,UFC on Fox 8 - Johnson vs. Moraga,Yaotzin Meza,John Albert,Yaotzin Meza,3.3,1.47,Yaotzin Meza,John Albert
48,UFC 163 - Aldo vs. Korean Zombie,Jose Aldo,Chan Sung Jung,Jose Aldo,1.15,8.05,Chan Sung Jung,Jose Aldo
49,UFC 163 - Aldo vs. Korean Zombie,Phil Davis,Lyoto Machida,Phil Davis,1.4,4.05,Lyoto Machida,Phil Davis
50,UFC 163 - Aldo vs. Korean Zombie,Cezar Ferreira,Thiago Santos,Cezar Ferreira,1.22,5.1,Thiago Santos,Cezar Ferreira
51,UFC 163 - Aldo vs. Korean Zombie,Thales Leites,Tom Watson,Thales Leites,1.69,2.5,Tom Watson,Thales Leites
52,UFC 163 - Aldo vs. Korean Zombie,John Lineker,Jose Maria Tome,John Lineker,1.27,4.55,Jose Maria Tome,John Lineker
53,UFC 163 - Aldo vs. Korean Zombie,Anthony Perosh,Vinny Magalhaes,Anthony Perosh,5.35,1.22,Anthony Perosh,Vinny Magalhaes
54,UFC 163 - Aldo vs. Korean Zombie,Amanda Nunes,Sheila Gaff,Amanda Nunes,1.51,3,Sheila Gaff,Amanda Nunes
55,UFC 163 - Aldo vs. Korean Zombie,Sergio Moraes,Neil Magny,Sergio Moraes,1.72,2.51,Neil Magny,Sergio Moraes
56,UFC 163 - Aldo vs. Korean Zombie,Ian McCall,Iliarde Santos,Ian McCall,1.22,5.05,Iliarde Santos,Ian McCall
57,UFC 163 - Aldo vs. Korean Zombie,Rani Yahya,Josh Clopton,Rani Yahya,1.13,9.17,Josh Clopton,Rani Yahya
58,UFC 163 - Aldo vs. Korean Zombie,Francimar Barroso,Ednaldo Oliveira,Francimar Barroso,2.4,1.83,Francimar Barroso,Ednaldo Oliveira
59,UFC 163 - Aldo vs. Korean Zombie,Viscardi Andrade,Bristol Marunde,Viscardi Andrade,1.57,2.77,Bristol Marunde,Viscardi Andrade
60,UFC Fight Night 26 - Shogun vs. Sonnen,Chael Sonnen,Mauricio Rua,Chael Sonnen,2.55,1.67,Chael Sonnen,Mauricio Rua
61,UFC Fight Night 26 - Shogun vs. Sonnen,Travis Browne,Alistair Overeem,Travis Browne,2.7,1.67,Travis Browne,Alistair Overeem
62,UFC Fight Night 26 - Shogun vs. Sonnen,Urijah Faber,Yuri Alcantara,Urijah Faber,1.47,3.05,Yuri Alcantara,Urijah Faber
63,UFC Fight Night 26 - Shogun vs. Sonnen,Matt Brown,Mike Pyle,Matt Brown,1.8,2.3,Mike Pyle,Matt Brown
64,UFC Fight Night 26 - Shogun vs. Sonnen,John Howard,Urijah Hall,John Howard,5.2,1.22,John Howard,Urijah Hall
65,UFC Fight Night 26 - Shogun vs. Sonnen,Michael Johnson,Joe Lauzon,Michael Johnson,3.6,1.42,Michael Johnson,Joe Lauzon
66,UFC Fight Night 26 - Shogun vs. Sonnen,Michael McDonald,Brad Pickett,Michael McDonald,1.33,4.05,Brad Pickett,Michael McDonald
67,UFC Fight Night 26 - Shogun vs. Sonnen,Conor McGregor,Max Holloway,Conor McGregor,1.42,3.85,Max Holloway,Conor McGregor
68,UFC Fight Night 26 - Shogun vs. Sonnen,Steven Siler,Mike Brown,Steven Siler,2.9,1.5,Steven Siler,Mike Brown
69,UFC Fight Night 26 - Shogun vs. Sonnen,Diego Brandao,Daniel Pineda,Diego Brandao,1.57,3,Daniel Pineda,Diego Brandao
70,UFC Fight Night 26 - Shogun vs. Sonnen,Manny Gamburyan,Cole Miller,Manny Gamburyan,1.8,2.31,Cole Miller,Manny Gamburyan
71,UFC Fight Night 26 - Shogun vs. Sonnen,Ovince St Preux,Cody Donovan,Ovince St Preux,1.31,4.63,Cody Donovan,Ovince St Preux
72,UFC Fight Night 26 - Shogun vs. Sonnen,James Vick,Ramsey Nijem,James Vick,2.75,1.57,James Vick,Ramsey Nijem
73,UFC 167 - St. Pierre vs. Hendricks,Georges St. Pierre,Johny Hendricks,Georges St. Pierre,1.54,2.85,Johny Hendricks,Georges St. Pierre
74,UFC 167 - St. Pierre vs. Hendricks,Rashad Evans,Chael Sonnen,Rashad Evans,1.5,3.2,Chael Sonnen,Rashad Evans
75,UFC 167 - St. Pierre vs. Hendricks,Robbie Lawler,Rory MacDonald,Robbie Lawler,4.65,1.26,Robbie Lawler,Rory MacDonald
76,UFC 167 - St. Pierre vs. Hendricks,Tyron Woodley,Josh Koscheck,Tyron Woodley,1.95,2.3,Josh Koscheck,Tyron Woodley
77,UFC 167 - St. Pierre vs. Hendricks,Ali Bagautinov,Tim Elliott,Ali Bagautinov,2.5,1.67,Ali Bagautinov,Tim Elliott
78,UFC 167 - St. Pierre vs. Hendricks,Donald Cerrone,Evan Dunham,Donald Cerrone,1.87,2.15,Evan Dunham,Donald Cerrone
79,UFC 167 - St. Pierre vs. Hendricks,Thales Leites,Ed Herman,Thales Leites,1.61,2.71,Ed Herman,Thales Leites
80,UFC 167 - St. Pierre vs. Hendricks,Rick Story,Brian Ebersole,Rick Story,1.49,3.01,Brian Ebersole,Rick Story
81,UFC 167 - St. Pierre vs. Hendricks,Erik Perez,Edwin Figueroa,Erik Perez,1.24,4.78,Edwin Figueroa,Erik Perez
82,UFC 167 - St. Pierre vs. Hendricks,Jason High,Anthony Lapsley,Jason High,1.32,3.9,Anthony Lapsley,Jason High
83,UFC 167 - St. Pierre vs. Hendricks,Sergio Pettis,Will Campuzano,Sergio Pettis,1.26,4.55,Will Campuzano,Sergio Pettis
84,UFC 167 - St. Pierre vs. Hendricks,Gian Villante,Cody Donovan,Gian Villante,1.31,4.1,Cody Donovan,Gian Villante
85,UFC - The Ultimate Fighter 18 Finale,Nate Diaz,Gray Maynard,Nate Diaz,2.14,1.83,Nate Diaz,Gray Maynard
86,UFC - The Ultimate Fighter 18 Finale,Julianna Pena,Jessica Rakoczy,Julianna Pena,1.36,3.6,Jessica Rakoczy,Julianna Pena
87,UFC - The Ultimate Fighter 18 Finale,Chris Holdsworth,Davey Grant,Chris Holdsworth,1.5,2.95,Davey Grant,Chris Holdsworth
88,UFC - The Ultimate Fighter 18 Finale,Jessamyn Duke,Peggy Morgan,Jessamyn Duke,1.43,3.25,Peggy Morgan,Jessamyn Duke
89,UFC - The Ultimate Fighter 18 Finale,Raquel Pennington,Roxanne Modafferi,Raquel Pennington,1.26,5.16,Roxanne Modafferi,Raquel Pennington
90,UFC - The Ultimate Fighter 18 Finale,Akira Corassani,Maximo Blanco,Akira Corassani,2.77,1.55,Akira Corassani,Maximo Blanco
91,UFC - The Ultimate Fighter 18 Finale,Tom Niinimaki,Rani Yahya,Tom Niinimaki,2,1.95,Tom Niinimaki,Rani Yahya
92,UFC - The Ultimate Fighter 18 Finale,Jared Rosholt,Walt Harris,Jared Rosholt,1.45,3.5,Walt Harris,Jared Rosholt
93,UFC - The Ultimate Fighter 18 Finale,Sean Spencer,Drew Dober,Sean Spencer,1.45,3.1,Drew Dober,Sean Spencer
94,UFC - The Ultimate Fighter 18 Finale,Josh Sampo,Ryan Benoit,Josh Sampo,1.87,2.05,Ryan Benoit,Josh Sampo
95,UFC Fight Night 33 - Hunt vs. Bigfoot,Mark Hunt,Antonio Silva,Mark Hunt,2.4,1.75,Mark Hunt,Antonio Silva
96,UFC Fight Night 33 - Hunt vs. Bigfoot,Mauricio Rua,James Te Huna,James Te Huna,2.4,1.75,Mark Hunt,Antonio Silva
97,UFC Fight Night 33 - Hunt vs. Bigfoot,Ryan Bader,Anthony Perosh,Ryan Bader,1.21,5.65,Anthony Perosh,Ryan Bader
98,UFC Fight Night 33 - Hunt vs. Bigfoot,Soa Palelei,Pat Barry,Soa Palelei,2.6,1.59,Soa Palelei,Pat Barry
99,UFC Fight Night 33 - Hunt vs. Bigfoot,Clint Hester,Dylan Andrews,Clint Hester,2.3,1.74,Clint Hester,Dylan Andrews
100,UFC Fight Night 33 - Hunt vs. Bigfoot,Bethe Correia,Julie Kedzie,Bethe Correia,2.6,1.61,Bethe Correia,Julie Kedzie
101,UFC Fight Night 33 - Hunt vs. Bigfoot,Takeya Mizugaki,Nam Phan,Takeya Mizugaki,1.33,4,Nam Phan,Takeya Mizugaki
102,UFC Fight Night 33 - Hunt vs. Bigfoot,Caio Magalhaes,Nick Ring,Caio Magalhaes,2.85,1.57,Caio Magalhaes,Nick Ring
103,UFC Fight Night 33 - Hunt vs. Bigfoot,Justin Scoggins,Richie Vaculik,Justin Scoggins,1.3,4.1,Richie Vaculik,Justin Scoggins
104,UFC Fight Night 33 - Hunt vs. Bigfoot,Krzysztof Jotko,Bruno Santos,Krzysztof Jotko,3.15,1.45,Krzysztof Jotko,Bruno Santos
105,UFC Fight Night 33 - Hunt vs. Bigfoot,Alex Garcia,Ben Wall,Alex Garcia,1.16,6.55,Ben Wall,Alex Garcia
106,UFC 168 - Weidman vs. Silva 2,Chris Weidman,Anderson Silva,Chris Weidman,2.75,1.58,Chris Weidman,Anderson Silva
107,UFC 168 - Weidman vs. Silva 2,Ronda Rousey,Miesha Tate,Ronda Rousey,1.17,6.55,Miesha Tate,Ronda Rousey
108,UFC 168 - Weidman vs. Silva 2,Travis Browne,Josh Barnett,Travis Browne,2.35,1.74,Travis Browne,Josh Barnett
109,UFC 168 - Weidman vs. Silva 2,Jim Miller,Fabricio Camoes,Jim Miller,1.26,4.76,Fabricio Camoes,Jim Miller
110,UFC 168 - Weidman vs. Silva 2,Dustin Poirier,Diego Brandao,Dustin Poirier,1.46,3.2,Diego Brandao,Dustin Poirier
111,UFC 168 - Weidman vs. Silva 2,Urijah Hall,Chris Leben,Urijah Hall,1.38,3.96,Chris Leben,Urijah Hall
112,UFC 168 - Weidman vs. Silva 2,Michael Johnson,Gleison Tibau,Michael Johnson,1.71,2.35,Gleison Tibau,Michael Johnson
113,UFC 168 - Weidman vs. Silva 2,Dennis Siver,Manny Gamburyan,Dennis Siver,1.35,3.86,Manny Gamburyan,Dennis Siver
114,UFC 168 - Weidman vs. Silva 2,John Howard,Siyar Bahadurzada,John Howard,2.4,1.69,John Howard,Siyar Bahadurzada
115,UFC 168 - Weidman vs. Silva 2,William Macario,Bobby Voelker,William Macario,2.25,1.77,William Macario,Bobby Voelker
116,UFC 168 - Weidman vs. Silva 2,Robbie Peralta,Estevan Payan,Robbie Peralta,1.61,2.65,Estevan Payan,Robbie Peralta
117,UFC Fight Night 34 - Saffiedine vs. Lim,Tarec Saffiedine,Hyun Gyu Lim,Tarec Saffiedine,1.47,3.11,Hyun Gyu Lim,Tarec Saffiedine
118,UFC Fight Night 34 - Saffiedine vs. Lim,Tatsuya Kawajiri,Sean Soriano,Tatsuya Kawajiri,1.98,2.3,Sean Soriano,Tatsuya Kawajiri
119,UFC Fight Night 34 - Saffiedine vs. Lim,Kiichi Kunimoto,Luiz Dutra,Kiichi Kunimoto,2.45,1.67,Kiichi Kunimoto,Luiz Dutra
120,UFC Fight Night 34 - Saffiedine vs. Lim,Kyung Ho Kang,Shunichi Shimizu,Kyung Ho Kang,1.33,3.95,Shunichi Shimizu,Kyung Ho Kang
121,UFC Fight Night 34 - Saffiedine vs. Lim,Max Holloway,Will Chope,Max Holloway,1.43,3.46,Will Chope,Max Holloway
122,UFC Fight Night 34 - Saffiedine vs. Lim,Katsunori Kikuno,Quinn Mulhern,Katsunori Kikuno,1.61,2.7,Quinn Mulhern,Katsunori Kikuno
123,UFC Fight Night 34 - Saffiedine vs. Lim,Royston Wee,Dave Galera,Royston Wee,2.75,1.57,Royston Wee,Dave Galera
124,UFC Fight Night 34 - Saffiedine vs. Lim,Mairbek Taisumov,Tae Hyun Bang,Mairbek Taisumov,1.31,4.2,Tae Hyun Bang,Mairbek Taisumov
125,UFC Fight Night 34 - Saffiedine vs. Lim,Dustin Kimura,Jon delos Reyes,Dustin Kimura,1.36,4.25,Jon delos Reyes,Dustin Kimura
126,UFC Fight Night 34 - Saffiedine vs. Lim,Russell Doane,Leandro Issa,Russell Doane,2.15,1.83,Russell Doane,Leandro Issa
127,UFC Fight Night 35 - Rockhold vs. Philippou,Luke Rockhold,Costas Philippou,Luke Rockhold,1.29,4.6,Costas Philippou,Luke Rockhold
128,UFC Fight Night 35 - Rockhold vs. Philippou,Brad Tavares,Lorenz Larkin,Brad Tavares,3.4,1.43,Brad Tavares,Lorenz Larkin
129,UFC Fight Night 35 - Rockhold vs. Philippou,T.J. Dillashaw,Mike Easton,T.J. Dillashaw,1.36,3.79,Mike Easton,T.J. Dillashaw
130,UFC Fight Night 35 - Rockhold vs. Philippou,Yoel Romero,Derek Brunson,Yoel Romero,1.51,3.14,Derek Brunson,Yoel Romero
131,UFC Fight Night 35 - Rockhold vs. Philippou,John Moraga,Dustin Ortiz,John Moraga,1.48,3.59,Dustin Ortiz,John Moraga
132,UFC Fight Night 35 - Rockhold vs. Philippou,Cole Miller,Sam Sicilia,Cole Miller,1.87,2.24,Sam Sicilia,Cole Miller
133,UFC Fight Night 35 - Rockhold vs. Philippou,Ramsey Nijem,Justin Edwards,Ramsey Nijem,1.69,2.5,Justin Edwards,Ramsey Nijem
134,UFC Fight Night 35 - Rockhold vs. Philippou,Elias Silverio,Isaac Vallie-Flagg,Elias Silverio,1.65,2.65,Isaac Vallie-Flagg,Elias Silverio
135,UFC Fight Night 35 - Rockhold vs. Philippou,Trevor Smith,Brian Houston,Trevor Smith,2.28,1.77,Trevor Smith,Brian Houston
136,UFC Fight Night 35 - Rockhold vs. Philippou,Louis Smolka,Alptekin Ozkilic,Louis Smolka,3.75,1.37,Louis Smolka,Alptekin Ozkilic
137,UFC Fight Night 35 - Rockhold vs. Philippou,Vinc Pichel,Garett Whiteley,Vinc Pichel,1.68,2.4,Garett Whiteley,Vinc Pichel
138,UFC Fight Night 35 - Rockhold vs. Philippou,Beneil Dariush,Charlie Brenneman,Beneil Dariush,2.85,1.61,Beneil Dariush,Charlie Brenneman
139,UFC on Fox 10 - Henderson vs. Thomson,Benson Henderson,Josh Thomson,Benson Henderson,1.36,3.8,Josh Thomson,Benson Henderson
140,UFC on Fox 10 - Henderson vs. Thomson,Stipe Miocic,Gabriel Gonzaga,Stipe Miocic,1.4,3.6,Gabriel Gonzaga,Stipe Miocic
141,UFC on Fox 10 - Henderson vs. Thomson,Donald Cerrone,Adriano Martins,Donald Cerrone,1.59,2.62,Adriano Martins,Donald Cerrone
142,UFC on Fox 10 - Henderson vs. Thomson,Jeremy Stephens,Darren Elkins,Jeremy Stephens,1.88,2.15,Darren Elkins,Jeremy Stephens
143,UFC on Fox 10 - Henderson vs. Thomson,Alex Caceres,Sergio Pettis,Alex Caceres,2.9,1.54,Alex Caceres,Sergio Pettis
144,UFC on Fox 10 - Henderson vs. Thomson,Eddie Wineland,Yves Jabouin,Eddie Wineland,1.24,5.26,Yves Jabouin,Eddie Wineland
145,UFC on Fox 10 - Henderson vs. Thomson,Chico Camus,Yaotzin Meza,Chico Camus,1.54,2.8,Yaotzin Meza,Chico Camus
146,UFC on Fox 10 - Henderson vs. Thomson,Hugo Viana,Ramiro Hernandez,Hugo Viana,1.31,3.93,Ramiro Hernandez,Hugo Viana
147,UFC on Fox 10 - Henderson vs. Thomson,Daron Cruickshank,Mike Rio,Daron Cruickshank,1.43,3.25,Mike Rio,Daron Cruickshank
148,UFC on Fox 10 - Henderson vs. Thomson,George Sullivan,Mike Rhodes,George Sullivan,3.55,1.4,George Sullivan,Mike Rhodes
149,UFC on Fox 10 - Henderson vs. Thomson,Nikita Krylov,Walt Harris,Nikita Krylov,4.55,1.25,Nikita Krylov,Walt Harris
150,UFC 169 - Barao vs. Faber 2,Renan Barao,Urijah Faber,Renan Barao,1.3,4.05,Urijah Faber,Renan Barao
151,UFC 169 - Barao vs. Faber 2,Jose Aldo,Ricardo Lamas,Jose Aldo,1.15,7.01,Ricardo Lamas,Jose Aldo
152,UFC 169 - Barao vs. Faber 2,Alistair Overeem,Frank Mir,Alistair Overeem,1.26,4.75,Frank Mir,Alistair Overeem
153,UFC 169 - Barao vs. Faber 2,Ali Bagautinov,John Lineker,Ali Bagautinov,1.69,2.44,John Lineker,Ali Bagautinov
154,UFC 169 - Barao vs. Faber 2,Abel Trujillo,Jamie Varner,Abel Trujillo,2.1,1.87,Abel Trujillo,Jamie Varner
155,UFC 169 - Barao vs. Faber 2,Alan Patrick,John Makdessi,Alan Patrick,2.4,1.8,Alan Patrick,John Makdessi
156,UFC 169 - Barao vs. Faber 2,Chris Cariaso,Danny Martinez,Chris Cariaso,1.61,2.71,Danny Martinez,Chris Cariaso
157,UFC 169 - Barao vs. Faber 2,Nick Catone,Tom Watson,Nick Catone,2.6,1.83,Nick Catone,Tom Watson
158,UFC 169 - Barao vs. Faber 2,Al Iaquinta,Kevin Lee,Al Iaquinta,1.67,3.1,Kevin Lee,Al Iaquinta
159,UFC 169 - Barao vs. Faber 2,Clint Hester,Andy Enz,Clint Hester,1.57,2.9,Andy Enz,Clint Hester
160,UFC 169 - Barao vs. Faber 2,Rashid Magomedov,Tony Martin,Rashid Magomedov,1.71,3.2,Tony Martin,Rashid Magomedov
161,UFC 169 - Barao vs. Faber 2,Neil Magny,Gasan Umalatov,Neil Magny,2.65,1.69,Neil Magny,Gasan Umalatov
162,UFC Fight Night 36 - Machida vs. Mousasi,Lyoto Machida,Gegard Mousasi,Lyoto Machida,1.5,3,Gegard Mousasi,Lyoto Machida
163,UFC Fight Night 36 - Machida vs. Mousasi,Ronaldo Souza,Francis Carmont,Ronaldo Souza,1.21,5.5,Francis Carmont,Ronaldo Souza
164,UFC Fight Night 36 - Machida vs. Mousasi,Erick Silva,Takenori Sato,Erick Silva,1.09,10.01,Takenori Sato,Erick Silva
165,UFC Fight Night 36 - Machida vs. Mousasi,Nico Musoke,Viscardi Andrade,Nico Musoke,2.31,1.74,Nico Musoke,Viscardi Andrade
166,UFC Fight Night 36 - Machida vs. Mousasi,Charles Oliveira,Andy Ogle,Charles Oliveira,1.14,7.38,Andy Ogle,Charles Oliveira
167,UFC Fight Night 36 - Machida vs. Mousasi,Joe Proctor,Cristiano Marcello,Joe Proctor,1.43,3.3,Cristiano Marcello,Joe Proctor
168,UFC Fight Night 36 - Machida vs. Mousasi,Rodrigo Damm,Ivan Jorge,Rodrigo Damm,2.55,1.68,Rodrigo Damm,Ivan Jorge
169,UFC Fight Night 36 - Machida vs. Mousasi,Francisco Trinaldo,Jesse Ronson,Francisco Trinaldo,1.65,2.55,Jesse Ronson,Francisco Trinaldo
170,UFC Fight Night 36 - Machida vs. Mousasi,Yuri Alcantara,Wilson Reis,Yuri Alcantara,1.48,3.2,Wilson Reis,Yuri Alcantara
171,UFC Fight Night 36 - Machida vs. Mousasi,Felipe Arantes,Maximo Blanco,Felipe Arantes,2,2.2,Maximo Blanco,Felipe Arantes
172,UFC Fight Night 36 - Machida vs. Mousasi,Ildemar Alcantara,Albert Tumenov,Ildemar Alcantara,3.05,1.48,Ildemar Alcantara,Albert Tumenov
173,UFC Fight Night 36 - Machida vs. Mousasi,Zubaira Tukhugov,Douglas Silva de Andrade,Zubaira Tukhugov,1.95,2.04,Douglas Silva de Andrade,Zubaira Tukhugov
174,UFC Fight Night 38 - Shogun vs. Henderson 2,Dan Henderson,Mauricio Rua,Dan Henderson,2.55,1.65,Dan Henderson,Mauricio Rua
175,UFC Fight Night 38 - Shogun vs. Henderson 2,C.B. Dollaway,Cezar Ferreira,C.B. Dollaway,4.58,1.3,C.B. Dollaway,Cezar Ferreira
176,UFC Fight Night 38 - Shogun vs. Henderson 2,Fabio Maldonado,Gian Villante,Fabio Maldonado,3.85,1.57,Fabio Maldonado,Gian Villante
177,UFC Fight Night 38 - Shogun vs. Henderson 2,Michel Prazeres,Mairbek Taisumov,Michel Prazeres,3.85,1.32,Michel Prazeres,Mairbek Taisumov
178,UFC Fight Night 38 - Shogun vs. Henderson 2,Rony Jason,Steven Siler,Rony Jason,1.56,2.7,Steven Siler,Rony Jason
179,UFC Fight Night 38 - Shogun vs. Henderson 2,Thiago Santos,Ronny Markes,Thiago Santos,7.6,1.13,Thiago Santos,Ronny Markes
180,UFC Fight Night 38 - Shogun vs. Henderson 2,Jussier Formiga,Scott Jorgensen,Jussier Formiga,2.75,1.54,Jussier Formiga,Scott Jorgensen
181,UFC Fight Night 38 - Shogun vs. Henderson 2,Kenny Robertson,Thiago de Oliveira Perpetuo,Kenny Robertson,2.27,1.77,Kenny Robertson,Thiago de Oliveira Perpetuo
182,UFC Fight Night 38 - Shogun vs. Henderson 2,Hans Stringer,Francimar Barroso,Hans Stringer,2.27,1.77,Hans Stringer,Francimar Barroso
