Event Title,Underdog,Favorite,Winner,height_delta,reach_delta,SLPM_delta,Str Acc_delta,SApm_delta,Str. Def_delta,TD Avg_delta,TD Acc_delta,TD Def_delta,Sub Avg_delta,age_delta,Odds_Delta
UFC 159 - Jones vs. Sonnen,Chael Sonnen,Jon Jones,Favorite,3,11,1.21,0.14,1.12,0.02,-1.88,-0.14,0.29,0.1,-11,-7.87
UFC 159 - Jones vs. Sonnen,Alan Belcher,Michael Bisping,Favorite,-1,0,1.63,-0.03,-0.39,0.06,0.61,0.17,0.08,-0.6,5,-2.93
UFC 159 - Jones vs. Sonnen,Cheick Kongo,Roy Nelson,Favorite,-4,-9,-1.15,-0.2,3.51,-0.08,-1.16,-0.29,0.13,-0.1,-2,-1.77
UFC 159 - Jones vs. Sonnen,Vinny Magalhaes,Phil Davis,Favorite,-1,4,0.71,0.1,-2.64,0.04,1.44,-0.06,0.06,-0.2,0,-2.19
UFC 159 - Jones vs. Sonnen,Pat Healy,Jim Miller,Underdog,4,1,-0.42,-0.06,-0.93,-0.06,1.55,-0.07,0.08,-0.6,0,2
UFC 159 - Jones vs. Sonnen,Yancy Medeiros,Rustam Khabilov,Favorite,-2,-2,-2.38,-0.03,-3.51,0.18,3.62,-0.09,-0.12,-0.6,1,-1.86
UFC 159 - Jones vs. Sonnen,Gian Villante,Ovince St Preux,Favorite,0,4,-1.35,0.03,-2.15,-0.08,0.65,0.13,-0.16,0.5,3,-0.71
UFC 159 - Jones vs. Sonnen,Sheila Gaff,Sara McMann,Favorite,1,2,0.66,-0.04,-0.97,0.19,4.38,0.65,0.3,0.5,9,-4.62
UFC 159 - Jones vs. Sonnen,Bryan Caraway,Johnny Bedford,Underdog,-2,-3,-2,-0.16,1.86,-0.09,0.74,-0.37,0.18,0.8,-2,0.24
UFC 159 - Jones vs. Sonnen,Cody McKenzie,Leonard Garcia,Underdog,2,4,-1.03,0.1,-2.29,0.15,2.2,-0.01,-0.28,2,-8,1.4
UFC 159 - Jones vs. Sonnen,Kurt Holobaugh,Steven Siler,Favorite,0,0,-1.16,-0.02,-1.11,0.06,-0.24,-0.15,0.09,0.7,0,-0.11
UFC on FX 8 - Belfort vs. Rockhold,Luke Rockhold,Vitor Belfort,Favorite,-3,-3,-2.51,-0.03,0.15,-0.03,0.32,0.31,-0.12,-0.4,8,-0.09
UFC on FX 8 - Belfort vs. Rockhold,Chris Camozzi,Ronaldo Souza,Favorite,-1,-3,-1.04,0.03,-0.13,0.06,2.3,0.2,0,0.8,7,-4.83
UFC on FX 8 - Belfort vs. Rockhold,Evan Dunham,Rafael dos Anjos,Favorite,-2,0,-1.85,0.08,-0.33,-0.01,0.13,0.02,-0.24,-0.4,-3,-1.41
UFC on FX 8 - Belfort vs. Rockhold,Joao Zeferino,Rafael Natal,Favorite,1,8,2.27,0.11,-0.12,0.09,2.05,0.29,0.27,-0.5,3,-2.34
UFC on FX 8 - Belfort vs. Rockhold,Hacran Dias,Nik Lentz,Favorite,0,-1,1.36,0.06,-0.06,-0.05,0.8,-0.07,-0.33,0.7,0,-0.11
UFC on FX 8 - Belfort vs. Rockhold,Mike Rio,Francisco Trinaldo,Favorite,-1,0,1.45,0.06,-0.32,0.07,-1.6,0.15,0.6,-0.5,3,-2.57
UFC on FX 8 - Belfort vs. Rockhold,John Cholish,Gleison Tibau,Favorite,-1,-3,-0.7,-0.18,0.22,-0.1,2.26,0.22,0.14,0.4,0,-1.93
UFC on FX 8 - Belfort vs. Rockhold,Michel Prazeres,Paulo Thiago,Favorite,5,7,-0.67,-0.08,-0.52,0.06,-2.52,-0.05,0.16,0.6,1,-1.19
UFC on FX 8 - Belfort vs. Rockhold,Iliarde Santos,Yuri Alcantara,Favorite,4,4,-0.28,0.15,-3.31,-0.08,-0.22,0.39,-0.23,0.8,0,-4.3
UFC on FX 8 - Belfort vs. Rockhold,Roger Hollett,Fabio Maldonado,Favorite,2,2,3.46,0.11,-2.16,0.19,-0.56,0.29,0.31,0.6,-1,-2.07
UFC on FX 8 - Belfort vs. Rockhold,John Lineker,Azamat Gashimov,Underdog,-3,0,4.12,0.19,-0.48,0.03,-1.13,0.33,0.67,0.6,-1,0.23
UFC on FX 8 - Belfort vs. Rockhold,Chris Cariaso,Jussier Formiga,Favorite,2,3,-1.93,-0.04,0.11,0.03,0.71,-0.04,0.3,-0.2,-3,-0.9
UFC on FX 8 - Belfort vs. Rockhold,Jeremy Larsen,Lucas Martins,Favorite,2,2,-2,-0.13,-1.61,0.03,-2.49,-0.33,0.76,0.5,-5,-2.52
UFC 160 - Velasquez vs. Bigfoot 2,Antonio Silva,Cain Velasquez,Favorite,-3,-5,3.48,0.12,-0.76,0.07,4.31,0.16,0.19,-0.4,-3,-5.59
UFC 160 - Velasquez vs. Bigfoot 2,Mark Hunt,Junior dos Santos,Favorite,6,5,1.68,0.04,0.43,0.05,-0.21,-0.05,0.17,-0.1,-10,-4
UFC 160 - Velasquez vs. Bigfoot 2,James Te Huna,Glover Teixeira,Favorite,0,1,-0.31,-0.02,1.44,-0.11,-0.64,-0.04,0.02,0.7,2,-3.42
UFC 160 - Velasquez vs. Bigfoot 2,T.J. Grant,Gray Maynard,Underdog,-1,-2,-2.03,-0.22,-0.57,0.1,1.28,0.04,0.45,0.1,5,0.91
UFC 160 - Velasquez vs. Bigfoot 2,K.J. Noons,Donald Cerrone,Favorite,3,3,0.73,0.11,0.7,-0.12,1.08,0.13,0.05,1.2,0,-2.11
UFC 160 - Velasquez vs. Bigfoot 2,Mike Pyle,Rick Story,Underdog,3,3,-1.06,0.04,0.67,-0.02,-0.73,-0.13,0.07,0.6,9,0.83
UFC 160 - Velasquez vs. Bigfoot 2,Max Holloway,Dennis Bermudez,Favorite,-5,-3,-2.75,-0.02,-1.65,0,3.64,-0.13,-0.02,0.8,5,-2.25
UFC 160 - Velasquez vs. Bigfoot 2,Robert Whittaker,Colton Smith,Underdog,0,2,2.93,0.01,1.15,0.08,-3.28,0.02,0.57,-1.4,-3,1.04
UFC 160 - Velasquez vs. Bigfoot 2,Abel Trujillo,Khabib Nurmagomedov,Favorite,2,0,1.45,0.07,-0.56,0.06,3.14,0.03,0.44,0.4,-5,-2.35
UFC 160 - Velasquez vs. Bigfoot 2,Nah-Shon Burrell,Stephen Thompson,Favorite,1,4,-0.72,-0.01,-0.42,-0.02,0.26,0.41,0.13,-0.3,7,-1.02
UFC 160 - Velasquez vs. Bigfoot 2,George Roop,Brian Bowles,Underdog,6,2,1.07,0.08,-0.51,-0.04,-0.34,-0.13,0.05,-1.3,-1,2.3
UFC 160 - Velasquez vs. Bigfoot 2,Estevan Payan,Jeremy Stephens,Favorite,-1,-1,-1.08,-0.02,-0.53,0.01,0.8,-0.62,0.05,0,-5,-1.3
UFC on Fox 8 - Johnson vs. Moraga,John Moraga,Demetrious Johnson,Favorite,-3,0,0.86,0.11,-0.89,0.11,2.73,0.33,0.21,-0.6,-3,-3.5
UFC on Fox 8 - Johnson vs. Moraga,Jake Ellenberger,Rory MacDonald,Favorite,3,5,1.28,0.03,-0.03,0.02,-0.27,0,0.02,0,-5,-1.71
UFC on Fox 8 - Johnson vs. Moraga,Bobby Voelker,Robbie Lawler,Favorite,-1,0,-0.16,0.12,-1.17,0.17,-0.39,0.14,-0.01,0,-3,-2.86
UFC on Fox 8 - Johnson vs. Moraga,Jessica Andrade,Liz Carmouche,Favorite,5,4,-3.84,0.04,-2.86,0.06,0.2,-0.04,-0.07,0,8,-4.55
UFC on Fox 8 - Johnson vs. Moraga,Michael Chiesa,Jorge Masvidal,Favorite,-2,-1,2.18,0.07,1.35,0.1,-1.95,0.09,0.12,-0.7,3,-2.15
UFC on Fox 8 - Johnson vs. Moraga,Tim Means,Danny Castillo,Favorite,-5,-4,-2.51,-0.07,-1.68,0.02,1.79,-0.02,-0.02,0,4,-1.95
UFC on Fox 8 - Johnson vs. Moraga,Mac Danzig,Melvin Guillard,Favorite,1,1,-0.43,-0.08,-1.59,0.09,0.1,0.26,0.15,-0.4,-3,-0.54
UFC on Fox 8 - Johnson vs. Moraga,Yves Edwards,Daron Cruickshank,Favorite,-1,-1,-0.03,-0.04,0.64,-0.09,1.28,-0.12,-0.09,-0.5,-9,-1.08
UFC on Fox 8 - Johnson vs. Moraga,Trevor Smith,Ed Herman,Favorite,-2,2,0.02,-0.07,0.4,-0.09,0.26,0.15,-0.01,0.3,0,-1.43
UFC on Fox 8 - Johnson vs. Moraga,Julie Kedzie,Germaine de Randamie,Favorite,4,6,-0.33,0.1,-1.18,0.19,-1.14,-0.23,-0.13,0.4,-3,-1.07
UFC on Fox 8 - Johnson vs. Moraga,Aaron Riley,Justin Salas,Favorite,0,1,-0.03,0.09,-0.82,0.07,1.25,-0.14,-0.6,-0.1,-1,-1.75
UFC on Fox 8 - Johnson vs. Moraga,Yaotzin Meza,John Albert,Underdog,1,3,-1.62,-0.08,-1.2,0.29,1.06,0.2,-0.32,-4.7,6,1.83
UFC 163 - Aldo vs. Korean Zombie,Chan Sung Jung,Jose Aldo,Favorite,0,-2,-0.3,0.05,-0.79,0.08,-0.19,0.09,0.19,-0.5,0,-6.9
UFC 163 - Aldo vs. Korean Zombie,Lyoto Machida,Phil Davis,Favorite,1,5,0.26,-0.19,-0.24,0.11,1.78,-0.27,-0.03,0.2,-6,-2.65
UFC 163 - Aldo vs. Korean Zombie,Thiago Santos,Cezar Ferreira,Favorite,-1,2,-1.82,-0.06,-0.13,0,1.81,0.2,0.19,0.4,-1,-3.88
UFC 163 - Aldo vs. Korean Zombie,Tom Watson,Thales Leites,Favorite,0,5,-1.88,-0.04,-1.42,0.02,1.95,0.2,-0.13,1.1,1,-0.81
UFC 163 - Aldo vs. Korean Zombie,Jose Maria Tome,John Lineker,Favorite,-2,2,2.16,-0.13,0.29,0.04,-1.76,0.31,0.34,-1.7,-9,-3.28
UFC 163 - Aldo vs. Korean Zombie,Anthony Perosh,Vinny Magalhaes,Underdog,0,0,0.13,0.19,-0.2,-0.15,0.48,-0.22,-0.33,0.3,12,4.13
UFC 163 - Aldo vs. Korean Zombie,Sheila Gaff,Amanda Nunes,Favorite,3,5,2.95,0.01,-0.27,0.29,2.73,0.54,0.62,0.7,1,-1.49
UFC 163 - Aldo vs. Korean Zombie,Neil Magny,Sergio Moraes,Favorite,-3,-8,-1.05,-0.04,1.31,0.07,-0.97,-0.02,0.21,0.1,5,-0.79
UFC 163 - Aldo vs. Korean Zombie,Iliarde Santos,Ian McCall,Favorite,0,-3,0.59,0.09,-2.85,0.1,0.42,0.07,0.05,0,-3,-3.83
UFC 163 - Aldo vs. Korean Zombie,Josh Clopton,Rani Yahya,Favorite,0,-1,0.11,-0.26,-0.79,0,0.73,-0.36,-0.46,1.8,-3,-8.04
UFC 163 - Aldo vs. Korean Zombie,Francimar Barroso,Ednaldo Oliveira,Underdog,-4,-7,1.74,0.3,1.27,0.07,2.22,0.24,0.41,0,4,0.57
UFC 163 - Aldo vs. Korean Zombie,Bristol Marunde,Viscardi Andrade,Favorite,-2,0,1.84,0.21,-1.63,0.16,0.33,0.17,0.52,0.3,-2,-1.2
UFC Fight Night 26 - Shogun vs. Sonnen,Chael Sonnen,Mauricio Rua,Underdog,0,-3,-0.49,-0.07,-1.69,0.08,1.8,0.11,0.17,-0.3,5,0.88
UFC Fight Night 26 - Shogun vs. Sonnen,Travis Browne,Alistair Overeem,Underdog,2,-1,-0.74,-0.23,1.87,-0.15,-0.21,0.13,0.02,-0.6,-3,1.03
UFC Fight Night 26 - Shogun vs. Sonnen,Yuri Alcantara,Urijah Faber,Favorite,-3,-4,-0.07,-0.05,-0.2,0.15,0.1,-0.32,-0.02,0,2,-1.58
UFC Fight Night 26 - Shogun vs. Sonnen,Mike Pyle,Matt Brown,Favorite,0,1,1.02,0.1,0.08,-0.05,-0.12,0.11,-0.07,-0.2,-5,-0.5
UFC Fight Night 26 - Shogun vs. Sonnen,John Howard,Urijah Hall,Underdog,5,7,1.08,-0.02,0.77,0.03,-2.16,-0.11,0.11,-0.3,-2,3.98
UFC Fight Night 26 - Shogun vs. Sonnen,Michael Johnson,Joe Lauzon,Underdog,0,2,1.43,0,-1.56,0.03,-1.77,-0.04,0.27,-2,-3,2.18
UFC Fight Night 26 - Shogun vs. Sonnen,Brad Pickett,Michael McDonald,Favorite,5,4,-3.02,-0.31,-4.23,-0.05,-2.47,-0.44,-0.58,-0.4,14,-2.72
UFC Fight Night 26 - Shogun vs. Sonnen,Brad Pickett,Michael McDonald,Favorite,3,2,-0.33,0.11,-1.87,0.02,-1.38,0.22,-0.06,1,-12,-2.72
UFC Fight Night 26 - Shogun vs. Sonnen,Max Holloway,Conor McGregor,Favorite,-2,5,-1.85,0.01,-0.06,-0.05,0.42,0.02,-0.18,-0.2,3,-2.43
UFC Fight Night 26 - Shogun vs. Sonnen,Steven Siler,Mike Brown,Underdog,5,0,0.23,-0.03,0.51,-0.06,-2.76,-0.19,-0.11,1,-11,1.4
UFC Fight Night 26 - Shogun vs. Sonnen,Daniel Pineda,Diego Brandao,Favorite,0,-5,-0.15,-0.02,0.2,0.16,1.5,0.43,0.32,-1.1,-2,-1.43
UFC Fight Night 26 - Shogun vs. Sonnen,Cole Miller,Manny Gamburyan,Favorite,-8,-6,-0.87,0.08,-1.05,-0.04,2.66,-0.02,0.31,-1.1,3,-0.51
UFC Fight Night 26 - Shogun vs. Sonnen,Cody Donovan,Ovince St Preux,Favorite,0,6,-2.58,-0.12,-2.12,0.02,-0.57,0.08,0.67,-1.2,-2,-3.32
UFC Fight Night 26 - Shogun vs. Sonnen,James Vick,Ramsey Nijem,Underdog,4,1,1.08,-0.05,1.69,-0.02,-5.06,-0.29,0.02,-0.4,1,1.18
UFC 167 - St. Pierre vs. Hendricks,Johny Hendricks,Georges St. Pierre,Favorite,2,7,0.29,0.08,-2.59,0.19,0.33,0.28,0.2,0.8,3,-1.31
UFC 167 - St. Pierre vs. Hendricks,Chael Sonnen,Rashad Evans,Favorite,-1,2,-0.94,-0.06,1.32,0.01,-0.83,-0.15,0.07,-0.4,-3,-1.7
UFC 167 - St. Pierre vs. Hendricks,Robbie Lawler,Rory MacDonald,Underdog,-1,-2,0.1,0.05,1.87,-0.03,-1.12,0.17,-0.23,-0.4,8,3.39
UFC 167 - St. Pierre vs. Hendricks,Josh Koscheck,Tyron Woodley,Favorite,-1,1,0.57,0.12,0.49,-0.09,-1.4,-0.08,0.23,0,-4,-0.35
UFC 167 - St. Pierre vs. Hendricks,Ali Bagautinov,Tim Elliott,Underdog,-3,-1,-0.54,-0.02,0.43,-0.04,-1.22,-0.11,0.06,-0.7,1,0.83
UFC 167 - St. Pierre vs. Hendricks,Evan Dunham,Donald Cerrone,Favorite,3,3,-0.92,0.07,0.94,-0.08,-0.66,0,-0.06,0.2,-1,-0.28
UFC 167 - St. Pierre vs. Hendricks,Ed Herman,Thales Leites,Favorite,0,1,-1.18,-0.08,-0.72,0.1,0.14,-0.2,-0.29,0.1,-1,-1.1
UFC 167 - St. Pierre vs. Hendricks,Brian Ebersole,Rick Story,Favorite,-3,-2,1.48,-0.08,0.03,0.06,0.83,0.25,0.02,0.8,-4,-1.52
UFC 167 - St. Pierre vs. Hendricks,Edwin Figueroa,Erik Perez,Favorite,1,-1,0.59,0.01,-0.97,0.15,2.96,-0.45,0.32,-0.4,-5,-3.54
UFC 167 - St. Pierre vs. Hendricks,Anthony Lapsley,Jason High,Favorite,-1,0,0.75,0.08,0.98,-0.18,2.36,0.63,0.17,2.8,-2,-2.58
UFC 167 - St. Pierre vs. Hendricks,Will Campuzano,Sergio Pettis,Favorite,-3,-1,1.45,0.06,-0.91,0.08,-0.03,-0.05,0.19,0.2,-7,-3.29
UFC 167 - St. Pierre vs. Hendricks,Cody Donovan,Gian Villante,Favorite,0,2,-1.23,-0.15,0.03,0.1,-1.22,-0.05,0.83,-1.7,-5,-2.79
UFC - The Ultimate Fighter 18 Finale,Nate Diaz,Gray Maynard,Underdog,3,6,2.65,0.13,1.13,-0.14,-1.86,-0.17,-0.4,0.6,-6,0.31
UFC - The Ultimate Fighter 18 Finale,Jessica Rakoczy,Julianna Pena,Favorite,-1,1,0.66,0.03,-1.25,-0.14,1.19,0.35,0.23,0,-13,-2.24
UFC - The Ultimate Fighter 18 Finale,Davey Grant,Chris Holdsworth,Favorite,3,2,-2.92,-0.13,-1.88,0.03,2.12,0.21,0.39,1.8,-2,-1.45
UFC - The Ultimate Fighter 18 Finale,Peggy Morgan,Jessamyn Duke,Favorite,-2,2,2.56,0.3,-3.77,0.24,1.27,0.36,0,1.9,-7,-1.82
UFC - The Ultimate Fighter 18 Finale,Roxanne Modafferi,Raquel Pennington,Favorite,0,-2,0.79,0.22,-2.41,0.09,-0.45,0.04,0.33,0.6,-6,-3.9
UFC - The Ultimate Fighter 18 Finale,Akira Corassani,Maximo Blanco,Underdog,0,-3,-0.86,0.01,1.72,-0.16,-1.15,-0.08,0.23,-0.3,1,1.22
UFC - The Ultimate Fighter 18 Finale,Tom Niinimaki,Rani Yahya,Underdog,3,2,0.2,0.16,0.23,0.08,0.24,0.16,0.04,-1.3,2,0.05
UFC - The Ultimate Fighter 18 Finale,Walt Harris,Jared Rosholt,Favorite,-3,-2,-0.97,0.07,-1.81,0.05,1.54,0.13,-0.04,0,-3,-2.05
UFC - The Ultimate Fighter 18 Finale,Drew Dober,Sean Spencer,Favorite,2,4,-0.1,-0.08,-0.21,0.09,-0.57,0.15,0.12,-0.1,1,-1.65
UFC - The Ultimate Fighter 18 Finale,Ryan Benoit,Josh Sampo,Favorite,-1,-4,-0.89,-0.03,-0.69,-0.03,0.78,0.11,-0.32,1.7,5,-0.18
UFC Fight Night 33 - Hunt vs. Bigfoot,Mark Hunt,Antonio Silva,Underdog,-6,-10,-0.08,-0.02,-0.19,0.01,-0.31,0.26,-0.02,-0.6,6,0.65
UFC Fight Night 33 - Hunt vs. Bigfoot,Mark Hunt,Antonio Silva,Underdog,-6,-10,-0.08,-0.02,-0.19,0.01,-0.31,0.26,-0.02,-0.6,6,0.65
UFC Fight Night 33 - Hunt vs. Bigfoot,Mark Hunt,Antonio Silva,Underdog,-1,1,-0.47,-0.01,-0.2,-0.08,-0.74,0.11,-0.09,0.5,0,0.65
UFC Fight Night 33 - Hunt vs. Bigfoot,Mark Hunt,Antonio Silva,Underdog,-1,1,-0.47,-0.01,-0.2,-0.08,-0.74,0.11,-0.09,0.5,0,0.65
UFC Fight Night 33 - Hunt vs. Bigfoot,Anthony Perosh,Ryan Bader,Favorite,-1,-1,0.55,0,-2.38,0.18,1.34,0.22,0.47,-0.7,-11,-4.44
UFC Fight Night 33 - Hunt vs. Bigfoot,Soa Palelei,Pat Barry,Underdog,5,7,-0.25,0.05,-0.86,-0.11,2.2,0.47,-0.1,-0.2,2,1.01
UFC Fight Night 33 - Hunt vs. Bigfoot,Clint Hester,Dylan Andrews,Underdog,1,3,1.15,-0.08,0.72,0.1,-1.81,-0.15,0.03,-0.4,-7,0.56
UFC Fight Night 33 - Hunt vs. Bigfoot,Bethe Correia,Julie Kedzie,Underdog,0,-1,1.47,0.07,1.75,0.1,-0.75,-0.05,0.07,0,-3,0.99
UFC Fight Night 33 - Hunt vs. Bigfoot,Nam Phan,Takeya Mizugaki,Favorite,1,-1,-1.15,0,-3.28,-0.02,1.28,0.39,0.1,-0.1,-1,-2.67
UFC Fight Night 33 - Hunt vs. Bigfoot,Caio Magalhaes,Nick Ring,Underdog,1,-1,-1.25,-0.02,-0.7,-0.06,-0.31,-0.21,0.06,1.3,-9,1.28
UFC Fight Night 33 - Hunt vs. Bigfoot,Richie Vaculik,Justin Scoggins,Favorite,1,-3,-0.13,0.05,-1.93,-0.02,0.42,0.18,0.51,-0.5,-8,-2.8
UFC Fight Night 33 - Hunt vs. Bigfoot,Krzysztof Jotko,Bruno Santos,Underdog,4,4,1.8,-0.04,-0.04,0.01,-1.67,0.02,0.16,-0.2,-2,1.7
UFC Fight Night 33 - Hunt vs. Bigfoot,Ben Wall,Alex Garcia,Favorite,-1,-1,0.34,0.02,-5.5,0.3,3.72,0.52,-0.34,0.1,1,-5.39
UFC 168 - Weidman vs. Silva 2,Chris Weidman,Anderson Silva,Underdog,0,1,0.13,-0.16,1.17,-0.09,2.94,-0.35,-0.04,0,-10,1.17
UFC 168 - Weidman vs. Silva 2,Miesha Tate,Ronda Rousey,Favorite,1,1,1.55,0.07,1.16,-0.07,4.24,0.37,-0.05,3.5,0,-5.38
UFC 168 - Weidman vs. Silva 2,Travis Browne,Josh Barnett,Underdog,3,1,-0.27,-0.09,2.2,-0.15,-0.05,0.13,0.2,-1.2,-5,0.61
UFC 168 - Weidman vs. Silva 2,Fabricio Camoes,Jim Miller,Favorite,-2,0,1.7,0.09,1.65,-0.05,-0.81,0.12,0.27,0.2,-5,-3.5
UFC 168 - Weidman vs. Silva 2,Diego Brandao,Dustin Poirier,Favorite,2,8,2.51,0.04,0.98,-0.09,-1.88,-0.32,-0.17,0.8,-1,-1.74
UFC 168 - Weidman vs. Silva 2,Chris Leben,Urijah Hall,Favorite,1,6,0.36,0.06,0.98,0.02,-0.6,-0.03,0.11,-0.7,-4,-2.58
UFC 168 - Weidman vs. Silva 2,Gleison Tibau,Michael Johnson,Favorite,0,2,2.32,0.08,1.32,-0.06,-3.46,-0.12,-0.11,-0.8,-3,-0.64
UFC 168 - Weidman vs. Silva 2,Manny Gamburyan,Dennis Siver,Favorite,1,3,1.74,-0.09,-0.16,0.1,-2.39,-0.02,-0.04,-0.4,2,-2.51
UFC 168 - Weidman vs. Silva 2,John Howard,Siyar Bahadurzada,Underdog,-4,-1,-0.76,0.1,-0.15,0.02,1.38,-0.12,-0.09,0.1,1,0.71
UFC 168 - Weidman vs. Silva 2,William Macario,Bobby Voelker,Underdog,-1,1,0.91,0.19,-1.88,0.23,0.81,-0.05,0.12,0,-13,0.48
UFC 168 - Weidman vs. Silva 2,Estevan Payan,Robbie Peralta,Favorite,-2,-1,-0.49,0.02,-0.61,-0.04,0.23,-0.34,0.05,-0.4,-4,-1.04
UFC Fight Night 34 - Saffiedine vs. Lim,Hyun Gyu Lim,Tarec Saffiedine,Favorite,-5,-7,-0.4,0.06,-2.01,0.11,0.29,-0.64,0.11,-0.1,-2,-1.64
UFC Fight Night 34 - Saffiedine vs. Lim,Sean Soriano,Tatsuya Kawajiri,Favorite,-2,-1,-1.14,-0.17,-0.13,-0.06,2.3,-0.07,0.11,1.1,12,-0.32
UFC Fight Night 34 - Saffiedine vs. Lim,Kiichi Kunimoto,Luiz Dutra,Underdog,-1,-1,-2.05,-0.06,-0.88,0,1.59,0.2,-0.72,0.3,1,0.78
UFC Fight Night 34 - Saffiedine vs. Lim,Shunichi Shimizu,Kyung Ho Kang,Favorite,4,6,3.21,0.15,-1.35,0.25,1.87,0.57,0.68,0.8,-3,-2.62
UFC Fight Night 34 - Saffiedine vs. Lim,Will Chope,Max Holloway,Favorite,-5,-7,2.74,0.21,-5.21,0.13,0.25,0.53,0.84,0.3,-1,-2.03
UFC Fight Night 34 - Saffiedine vs. Lim,Quinn Mulhern,Katsunori Kikuno,Favorite,-7,-10,1.16,0.12,0.38,0.1,0.52,0.55,0.43,0.8,3,-1.09
UFC Fight Night 34 - Saffiedine vs. Lim,Royston Wee,Dave Galera,Underdog,-4,-5,-0.57,-0.09,1.92,0.16,3.38,0.81,-0.14,-2,-9,1.18
UFC Fight Night 34 - Saffiedine vs. Lim,Tae Hyun Bang,Mairbek Taisumov,Favorite,0,2,0.26,0.01,0.96,-0.02,0.85,0.3,0.31,-0.5,-6,-2.89
UFC Fight Night 34 - Saffiedine vs. Lim,Jon delos Reyes,Dustin Kimura,Favorite,1,4,-1.66,-0.17,-0.32,0,-2.27,-0.46,-0.05,0.3,-1,-2.89
UFC Fight Night 34 - Saffiedine vs. Lim,Russell Doane,Leandro Issa,Underdog,0,1,-0.33,0.03,-1.49,-0.05,-0.27,0.23,0.02,-0.4,-3,0.32
UFC Fight Night 35 - Rockhold vs. Philippou,Costas Philippou,Luke Rockhold,Favorite,4,4,1.91,0.14,-0.05,-0.01,0.3,-0.13,0,0.7,-5,-3.31
UFC Fight Night 35 - Rockhold vs. Philippou,Brad Tavares,Lorenz Larkin,Underdog,2,2,-0.15,-0.03,0.41,-0.08,0.51,-0.16,0.02,-0.1,-1,1.97
UFC Fight Night 35 - Rockhold vs. Philippou,Mike Easton,T.J. Dillashaw,Favorite,0,-3,1.58,0.04,-0.81,0.01,0.81,0.08,0.11,0.8,-2,-2.43
UFC Fight Night 35 - Rockhold vs. Philippou,Derek Brunson,Yoel Romero,Favorite,-1,-4,-0.07,0.02,0,0.09,-1.57,-0.03,-0.07,-0.6,7,-1.63
UFC Fight Night 35 - Rockhold vs. Philippou,Dustin Ortiz,John Moraga,Favorite,1,1,-0.37,-0.01,0.38,0,-2.39,-0.13,-0.08,1,5,-2.11
UFC Fight Night 35 - Rockhold vs. Philippou,Sam Sicilia,Cole Miller,Favorite,5,6,0.54,0,0.33,0,-0.85,-0.07,-0.32,0.9,2,-0.37
UFC Fight Night 35 - Rockhold vs. Philippou,Justin Edwards,Ramsey Nijem,Favorite,1,5,0.37,0.02,-1.7,0.11,3.18,0.36,0.28,0.1,-5,-0.81
UFC Fight Night 35 - Rockhold vs. Philippou,Isaac Vallie-Flagg,Elias Silverio,Favorite,3,3,-1.89,0.02,-2.63,0.06,1.42,0.26,0.27,0.2,-9,-1
UFC Fight Night 35 - Rockhold vs. Philippou,Trevor Smith,Brian Houston,Underdog,1,-3,1.39,0.2,-0.36,-0.02,0.75,-0.68,-0.27,0.7,0,0.51
UFC Fight Night 35 - Rockhold vs. Philippou,Louis Smolka,Alptekin Ozkilic,Underdog,4,3,0.86,0.15,-1.61,-0.06,-2.52,-0.23,-0.43,1.8,-6,2.38
UFC Fight Night 35 - Rockhold vs. Philippou,Garett Whiteley,Vinc Pichel,Favorite,-2,0,-0.1,-0.02,-0.99,0.09,2.78,0.54,-0.02,-0.7,-2,-0.72
UFC Fight Night 35 - Rockhold vs. Philippou,Beneil Dariush,Charlie Brenneman,Underdog,0,2,2.26,-0.08,1.1,0.11,-2.33,-0.08,0.08,0.9,-8,1.24
UFC on Fox 10 - Henderson vs. Thomson,Josh Thomson,Benson Henderson,Favorite,-1,-1,0.34,-0.02,-0.33,-0.01,0.48,0.06,0.09,-0.5,-5,-2.44
UFC on Fox 10 - Henderson vs. Thomson,Gabriel Gonzaga,Stipe Miocic,Favorite,2,4,2.7,0.08,0.88,-0.03,-0.94,-0.05,0.02,-1.1,-4,-2.2
UFC on Fox 10 - Henderson vs. Thomson,Adriano Martins,Donald Cerrone,Favorite,3,1,2.61,0.08,2.34,-0.12,0.33,-0.47,-0.08,0.8,0,-1.03
UFC on Fox 10 - Henderson vs. Thomson,Darren Elkins,Jeremy Stephens,Favorite,-1,0,-0.27,0.02,-0.22,0.06,-1.69,0.03,0.09,-0.7,-3,-0.27
UFC on Fox 10 - Henderson vs. Thomson,Alex Caceres,Sergio Pettis,Underdog,4,4,0.33,0.12,0.18,-0.03,-0.31,0.28,-0.03,0.3,5,1.36
UFC on Fox 10 - Henderson vs. Thomson,Yves Jabouin,Eddie Wineland,Favorite,0,1,0.34,-0.12,0.83,0.06,-1.6,-0.27,0.04,0,-5,-4.02
UFC on Fox 10 - Henderson vs. Thomson,Yaotzin Meza,Chico Camus,Favorite,-3,-5,1.15,0,0.84,0,-0.29,0.2,0.54,-1,-4,-1.26
UFC on Fox 10 - Henderson vs. Thomson,Ramiro Hernandez,Hugo Viana,Favorite,-3,-3,0.33,0.1,-2.31,-0.07,0.22,0.06,0.5,0,4,-2.62
